date,dist_m,mov_s,hr,intensity,load,name
2022-03-31,13867.66,3604,156,84.3,74,San Mateo Running
2022-03-29,3856.29,1196,150,79.2,21,Burlingame Running
2022-03-29,1555.35,358,153,,7,Burlingame Running
2022-03-29,3196.24,617,163,96.1,16,Burlingame Running
2022-03-29,2783.74,719,141,74.1,11,Burlingame Running
2022-03-27,12940.56,3326,156,85.0,68,San Mateo Running
2022-03-26,1201.63,334,145,,6,San Mateo Running
2022-03-26,6010.00,1381,161,89.7,31,San Mateo Track Running
2022-03-24,13922.91,3766,149,79.8,67,San Mateo Running
2022-03-23,2577.10,809,149,78.1,14,San Francisco Running
2022-03-23,8979.80,2565,134,67.9,33,San Francisco Running
2022-03-23,2457.11,746,133,65.8,9,San Francisco Running
2022-03-22,3705.41,1194,147,75.2,19,Burlingame Running
2022-03-22,7607.29,1663,178,109.1,55,Burlingame Running
2022-03-22,2382.59,650,143,74.4,10,Burlingame Running
2022-03-20,13295.98,3380,161,90.4,78,San Mateo Running
2022-03-19,1936.95,509,150,,9,San Mateo Running
2022-03-19,6010.00,1374,168,97.0,36,San Mateo Track Running
2022-03-19,1933.05,531,145,,9,San Mateo Running
2022-03-19,3845.21,1180,148,76.1,19,San Francisco Running
2022-03-17,13896.71,3780,150,79.9,68,San Mateo Running
2022-03-16,4317.86,1176,159,89.2,26,San Francisco Running
2022-03-16,7147.22,1736,147,77.3,29,San Francisco Running
2022-03-16,2588.27,714,143,74.3,11,San Francisco Running
2022-03-13,17013.94,4212,166,95.2,108,San Mateo Running
2022-03-12,4010.83,1059,150,82.5,20,San Mateo Running
2022-03-12,2810.00,625,151,83.1,12,San Mateo Track Running
2022-03-12,5309.39,1728,140,70.6,24,San Francisco Running
2022-03-10,13674.05,3660,153,82.4,71,San Mateo Running
2022-03-08,4452.22,1344,159,88.1,29,Burlingame Running
2022-03-08,4936.46,1075,170,98.5,29,Burlingame Running
2022-03-08,1740.15,424,132,,5,Burlingame Running
2022-03-08,2165.71,580,142,,9,Burlingame Running
